index,smiles,pred
2,C1([C]C2=CC=CC=C2)=CC=CC=C1,-0.16
3,C[C](C)C,-0.53
1,C[C](C)C1=CC=CC=C1,-0.0
0,[CH2]C1=CC=CC=C1,1.08
